"species";"obs_id";"obs_letter";"order_round_1";"order_round_2";"order_round_3"
"LIMGIR";"obs_zkxe";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-5-7"
"LIMGIR";"obs_aupj";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-4-7";"1-8-2-9-4-6-3-7-5-10"
"EUPPEP2";"obs_yvfg";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"EUPPEP2";"obs_ugmx";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-4-6-7-5-3-10-1-8-2"
"EUPPEP2";"obs_ufdr";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"EUPPEP2";"obs_jsrp";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"EUPPEP2";"obs_asix";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"EUPPEP2";"obs_aupj";"H";"8-9-10-1-2-3-4-5-6-7";"4-6-9-8-10-5-3-1-2-7";"10-1-8-9-4-6-3-2-5-7"
"EUPPEP2";"obs_thsa";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"EPIAPH";"obs_btow";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-8-1"
"EPIAPH";"obs_qigp";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-2-6-7-5-3-10-1-8-4"
"EPIAPH";"obs_afyw";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"EPIAPH";"obs_citm";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"EPIAPH";"obs_ujsl";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-5-7"
"EPIAPH";"obs_avas";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
